ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:10677:1944		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9193:1945		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:12507:1946		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:11070:1945		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:21337:1944		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17548:1943		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:13817:1946		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16126:1947		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9387:1945		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:23675:1945		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:10068:1946		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:13261:1946		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:20990:1947		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:11724:1946		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:11453:1946		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:11137:1946		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14658:1946		IGH.forP6_12N	0.0
M05295:78:000000000-BJNBT:1:1102:10206:1946		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:8047:1944		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:14589:1945		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:15344:1946		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14573:1947		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:14528:1947		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:15071:1947		IGH.forP4.1_12N	0.3529411764705882
M05295:78:000000000-BJNBT:1:1102:19373:1946		IGH.forP4.1_12N	0.0
